t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event,run_id,split,seed
9,0.07,0.004,0.926,24.804,1.0,1,7,sir_graph_seed_19,train,19
10,0.102,0.006,0.892,24.804,1.0,1,6,sir_graph_seed_19,train,19
11,0.172,0.006,0.822,24.804,1.0,1,5,sir_graph_seed_19,train,19
12,0.242,0.006,0.752,24.804,1.0,1,4,sir_graph_seed_19,train,19
13,0.326,0.012,0.662,24.804,1.0,1,3,sir_graph_seed_19,train,19
14,0.43,0.014,0.556,24.804,1.0,1,2,sir_graph_seed_19,train,19
15,0.514,0.022,0.464,24.804,1.0,1,1,sir_graph_seed_19,train,19
16,0.6,0.026,0.374,24.804,1.0,1,0,sir_graph_seed_19,train,19
0,0.004,0.0,0.996,24.936,2.0,1,15,sir_graph_seed_2,train,2
1,0.004,0.0,0.996,24.936,2.0,1,14,sir_graph_seed_2,train,2
2,0.012,0.0,0.988,24.936,2.0,1,13,sir_graph_seed_2,train,2
3,0.018,0.0,0.982,24.936,2.0,1,12,sir_graph_seed_2,train,2
4,0.022,0.0,0.978,24.936,2.0,1,11,sir_graph_seed_2,train,2
5,0.028,0.0,0.972,24.936,1.0,1,10,sir_graph_seed_2,train,2
6,0.036,0.0,0.964,24.936,1.0,1,9,sir_graph_seed_2,train,2
7,0.056,0.002,0.942,24.936,1.0,1,8,sir_graph_seed_2,train,2
8,0.084,0.004,0.912,24.936,1.0,1,7,sir_graph_seed_2,train,2
9,0.112,0.006,0.882,24.936,1.0,1,6,sir_graph_seed_2,train,2
10,0.17,0.006,0.824,24.936,1.0,1,5,sir_graph_seed_2,train,2
11,0.24,0.01,0.75,24.936,1.0,1,4,sir_graph_seed_2,train,2
12,0.314,0.01,0.676,24.936,1.0,1,3,sir_graph_seed_2,train,2
13,0.434,0.016,0.55,24.936,1.0,1,2,sir_graph_seed_2,train,2
14,0.52,0.016,0.464,24.936,1.0,1,1,sir_graph_seed_2,train,2
15,0.604,0.022,0.374,24.936,1.0,1,0,sir_graph_seed_2,train,2
0,0.004,0.0,0.996,25.196,2.0,1,16,sir_graph_seed_20,train,20
1,0.006,0.0,0.994,25.196,2.0,1,15,sir_graph_seed_20,train,20
2,0.008,0.0,0.992,25.196,2.0,1,14,sir_graph_seed_20,train,20
3,0.008,0.0,0.992,25.196,2.0,1,13,sir_graph_seed_20,train,20
4,0.014,0.0,0.986,25.196,2.0,1,12,sir_graph_seed_20,train,20
5,0.02,0.0,0.98,25.196,2.0,1,11,sir_graph_seed_20,train,20
